,"nose_x","nose_y","leftEye_x","leftEye_y","rightEye_x","rightEye_y","leftEar_x","leftEar_y","rightEar_x","rightEar_y","leftShoulder_x","leftShoulder_y","rightShoulder_x","rightShoulder_y","leftElbow_x","leftElbow_y","rightElbow_x","rightElbow_y","leftWrist_x","leftWrist_y","rightWrist_x","rightWrist_y","leftHip_x","leftHip_y","rightHip_x","rightHip_y","leftKnee_x","leftKnee_y","rightKnee_x","rightKnee_y","leftAnkle_x","leftAnkle_y","rightAnkle_x","rightAnkle_y",estado
1,512.553687188412,373.96892859314204,523.876083908378,357.38636061375246,494.79794513390686,360.01360110271764,543.7660995067789,375.92118200161116,470.14301047714764,376.8297579872933,596.9041567553807,475.37255758441376,437.8352183776143,485.79136711150295,628.3982564132037,619.9442787021978,405.3026114734695,616.6236752758695,663.2058988934825,728.8850836252888,406.91196545552657,738.6908362718872,576.374615027283,744.0906189202335,472.01185115116584,751.1671180576666,593.8618392053745,932.9327392578125,468.54092490348376,938.8729573409381,597.2977717655642,1087.9951233622628,460.4608688651356,1085.3074509438839, BraçoNomal
2,499.6732837959022,362.08548816725437,513.5115187826788,344.99222217366855,477.77092456817627,347.4003630760579,539.8560508401478,359.1206686413242,453.6798024455861,363.55174261308366,588.3952004993008,461.35717963430204,431.90076776051797,472.11685121291345,623.3300911869984,602.7274165172057,399.1143335720908,601.6742133352079,685.7447714007782,720.8839033549862,374.8847290514044,724.7500913152435,569.1570344323778,740.3045013071498,463.44996352140083,734.8303923254347,582.0905514728234,916.7194957213643,443.9335020785202,916.0766055333476,583.6230373753648,1081.2975029258876,452.31783974495386,1083.6171333520792, BraçoNomal
3,498.39385630091806,382.3040913978903,511.4261612354086,363.0681779319674,474.420602108254,365.8047829713339,538.0372150584418,377.29893072106034,453.79618722641055,382.355026066999,596.3591104351593,474.52958607951956,431.41514640837795,494.8743958232004,640.3283020494513,622.7918466055903,400.98024954591745,628.5519824788728,682.6688180173882,743.7210023635092,354.4553526644577,740.5239690045902,581.1159577722216,756.7621395838399,465.004350832928,755.2995828710177,598.6008581020488,932.3668982361078,462.8917435820465,948.7928760098113,602.5765290612841,1092.0085862452881,466.81816249506016,1094.7355752789092, BraçoNomal
4,448.31643189901513,378.3464768702882,463.40994749551623,359.5123979739178,427.6814691565844,364.0865530763619,489.13068244429417,377.57564084539155,403.7560589860849,386.331086511278,533.9338488152055,486.71519357406675,378.598813305569,500.0267390982186,591.8544855377554,626.1937004119042,360.7502479404791,642.3809113855028,624.2780063495562,739.066428099161,337.870543958612,755.6546388618677,534.9193195981275,745.5560872712488,433.1719139485044,747.0641686109253,553.4330455616754,926.9830868494649,425.4994813199173,936.5054926890807,570.604363229952,1100.1122061287847,437.1075581947654,1096.0655847690448, BraçoNomal
5,419.63476752492704,326.53289676176433,437.5099342435251,301.3110755296997,393.6857352646408,310.5966602132478,470.7725881138664,316.45890974349084,359.2517944810919,334.94122338202214,524.1550881946133,446.9602948496778,339.27158697106034,478.9086203074177,574.2651355312956,615.1977752804293,315.9159459214266,648.6001361297726,592.0763210192729,761.7289549831287,292.4151160095452,795.4367295498978,517.3847741746717,785.5552714900748,401.44661068452467,775.8595269941634,531.4064376177955,980.2654578064203,409.56595335489123,981.1021405528028,575.3211066695039,1166.965961382083,427.9449367894273,1171.9624013937864, BraçoNomal
6,393.66910229397195,346.6926307529791,412.1262368525049,321.353484869931,366.7680934802104,327.28823888162697,442.5995633017692,327.63192559030733,335.5448860138771,353.0940169397495,517.0320693435373,462.0853551723614,317.1712584439883,507.3475308548152,572.6969226881688,630.2637549968081,289.24486212229453,681.1383151636977,615.5326421715406,766.7574800127675,269.17401146795964,837.61474609375,523.7243889834631,790.2391871589631,387.74510958779183,801.9879583811481,545.11555000038,1019.4139259427438,411.0766744057029,1018.3899970741123,571.3159607171085,1256.301293280338,423.00718077425825,1212.2251814905308, BraçoNomal
7,482.6936833125608,374.8012248829645,503.8662304117522,363.9503853052043,461.7954524296267,368.0738800880046,537.2581772859922,389.0692649277268,442.3957320038911,388.5792476193914,546.8299206685464,421.81618300857247,403.9471156495091,455.84332299139714,590.2408964995744,298.6368047216987,385.2003496815722,303.95924846485894,550.9226514764333,187.35730122963278,391.07919180903457,203.30949241549123,560.0894699393543,736.8574624859406,441.29253461667076,731.6300863421844,584.1900373525657,933.1736096333901,437.49385848583415,948.98354140701,586.5898755737779,1103.3369463612598,444.31899727550467,1097.796569111746, BraçoNomal
8,433.91204477748056,389.4215060579174,458.64095249992397,359.61645697805204,412.78082584128765,373.37115454766536,469.1781479653681,365.31286336104694,385.3026512531919,397.6019681195805,510.9265374209631,431.52557491792317,383.47828668379134,504.38616919610286,552.7216377703596,293.9160085002736,371.9367405041646,627.4477745679566,524.0703656979572,187.0454305804657,369.004195988874,763.9483856319918,533.3082740872751,740.5312314757114,446.35280505228604,747.7138866617522,559.8291262021788,920.2141764006262,436.3284812363205,941.568059661509,582.043167292376,1089.3004468628405,434.9872657389956,1100.7565830097124, BraçoLevantado
9,500.6373495257782,377.16540859830985,506.7843734800583,382.9642709219966,482.3990972496656,360.03925011779546,536.6941174458901,384.9724522453338,446.5041864892388,386.1642895412816,554.4274566887882,456.69191828033803,430.69389610438964,444.6843627454706,586.1830465710117,328.7610492632083,409.80634518634486,283.4721451696255,539.6664369338217,183.87386574355546,502.10782655946014,170.27218473560615,565.2891920512752,737.180066535445,463.04565904669266,731.7295950210512,595.349520078429,927.4889922976957,452.4876148505897,943.3301208733585,597.9033830100924,1091.4967530246838,452.08152206955253,1088.7520637957502, BraçoLevantado
10,440.69117445890083,368.8058174816087,462.60591974518184,354.9271615469966,421.8793223340224,367.5515687697592,478.80832360412364,365.4952611069735,395.755318073911,388.7138877304612,523.2087131604146,458.95524911843387,386.2755528312713,503.9373589304171,616.2042283826302,365.1671603310433,370.42346048911725,625.3458900303228,609.2275276629377,194.70218881094965,370.61640757994894,767.4289759773225,538.6248019326058,736.491548412041,436.05580370713767,734.5788716713279,556.2259383888096,918.7361970300341,433.68286370303383,924.573430755259,592.9024995440175,1084.3565540833233,442.05326065479085,1084.1554515556602, BraçoLevantado
